"orderID","CreateDate","Serial","PicklistID","CartonNumber","TotalNumberOfCartons","cartonID","Weight1","Weight2","MaxWeight","MinWeight","Status","Packdate","PackedQTY"
"2330104_1","2019-07-29 08:58","[""SMP1H0HC7""]","P001032501",3,3,"60347970",4995,4995,5308,4808,"SHIPPED","2019-07-29 10:40",1
"2334209_1","2019-07-29 10:42","[""SMP1H0MQW""]","P001032548",2,3,"60348101",4885,4885,5308,4808,"SHIPPED","2019-07-29 10:59",1
"2330087_1","2019-07-29 10:44","[""866461041364933"",""866461041365484"",""866461041358091"",""866461041364818"",""866461041423465""]","P001032725",1,1,"40486956",2285,2285,2460,2060,"SHIPPED","2019-07-29 11:14",5
"2329921_1","2019-07-29 11:06","[""358708096315995"",""358708096718248""]","P001033128",3,3,"60348105",18725,18725,19115,18615,"SHIPPED","2019-07-29 12:42",2
"2329921_1","2019-07-29 11:06","[""867738030623117"",""867738030620030"",""867738030625104"",""867738030633884"",""867738030627969"",""867738030622051"",""867738030644576""]","P001033128",3,3,"60348105",18725,18725,19115,18615,"SHIPPED","2019-07-29 12:42",7
"2329921_1","2019-07-29 11:06","[""353172100326750""]","P001033128",3,3,"60348105",18725,18725,19115,18615,"SHIPPED","2019-07-29 12:42",1
"2329921_1","2019-07-29 11:06","[""869161034125328"",""869161033759267"",""869161034127076""]","P001033128",3,3,"60348105",18725,18725,19115,18615,"SHIPPED","2019-07-29 12:42",3
"2329921_1","2019-07-29 11:06","[""354897102165587"",""354897100955294"",""354897100991273""]","P001033128",3,3,"60348105",18725,18725,19115,18615,"SHIPPED","2019-07-29 12:42",3
"2329921_1","2019-07-29 11:06","[""355921101003877"",""355921101010419"",""355921101009940""]","P001033128",3,3,"60348105",18725,18725,19115,18615,"SHIPPED","2019-07-29 12:42",3
"2329921_1","2019-07-29 11:06","[""865294035252504"",""865294035251100"",""865294035250425""]","P001033128",3,3,"60348105",18725,18725,19115,18615,"SHIPPED","2019-07-29 12:42",3
"2329921_1","2019-07-29 11:06","[""869161034521500"",""869161034520031""]","P001033128",3,3,"60348105",18725,18725,19115,18615,"SHIPPED","2019-07-29 12:42",2
"2329921_1","2019-07-29 11:06","[""354863102874743"",""354863102869834"",""354863102868687""]","P001033128",3,3,"60348105",18725,18725,19115,18615,"SHIPPED","2019-07-29 12:42",3
"2329921_1","2019-07-29 11:06","[""354651102416767"",""354651102415140"",""354651102415603""]","P001033128",3,3,"60348105",18725,18725,19115,18615,"SHIPPED","2019-07-29 12:42",3
"2329921_1","2019-07-29 11:06","[""355045105887000"",""355045105887190"",""355045105889352""]","P001033128",3,3,"60348105",18725,18725,19115,18615,"SHIPPED","2019-07-29 12:42",3
"2329921_1","2019-07-29 11:06","[""866461041428399"",""866461041419331"",""866461041365013"",""866461041366193"",""866461041364941"",""866461041364982"",""866461041365419"",""866461041358422"",""866461041365211"",""866461041364875""]","P001033128",3,3,"60348105",18725,18725,19115,18615,"SHIPPED","2019-07-29 12:42",10
"2334143_1","2019-07-29 11:39","[""CND91038ZQ""]","P001033606",5,5,"60348009",7625,7625,8020,7520,"SHIPPED","2019-07-29 15:10",1
"2334143_1","2019-07-29 11:39","[""355624103356182"",""355624103381727"",""355624103355978"",""355624103267926"",""355624103381867"",""355624103364012""]","P001033606",5,5,"60348009",7625,7625,8020,7520,"SHIPPED","2019-07-29 15:10",6
"2334143_1","2019-07-29 11:39","[""352690100448630"",""352690100445800""]","P001033606",5,5,"60348009",7625,7625,8020,7520,"SHIPPED","2019-07-29 15:10",2
"2334633_1","2019-07-29 12:54","[""867738030652447"",""867738030641598"",""867738030630583"",""867738030630716"",""867738030630625""]","P001033351",1,1,"40488065",3535,3535,3724,3324,"SHIPPED","2019-07-29 15:12",5
"2334633_1","2019-07-29 12:54","[""866461041358893"",""866461041360469"",""866461041350544"",""866461041350163""]","P001033351",1,1,"40488065",3535,3535,3724,3324,"SHIPPED","2019-07-29 15:12",4
"2334633_1","2019-07-29 12:54","[""869378048400444"",""869378048356364""]","P001033351",1,1,"40488065",3535,3535,3724,3324,"SHIPPED","2019-07-29 15:12",2
